,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
396,4,0,0,0,3,0,2,0,1,0,1,0,0,0
397,4,0,0,0,0,0,0,0,1,0,2,0,0,0
398,2,0,0,0,0,0,1,0,0,0,0,0,0,0
399,6,0,0,0,2,0,1,0,0,0,1,0,0,0
400,3,0,0,0,0,0,2,0,0,0,4,0,0,0
401,1,0,0,0,0,0,0,0,1,0,0,0,0,0
402,8,0,0,0,0,0,1,0,0,0,1,0,0,0
403,2,0,0,0,0,0,3,0,0,0,0,0,0,0
404,3,0,0,0,0,0,1,0,0,0,2,0,0,0
405,2,0,0,0,0,0,0,0,1,0,0,0,0,2
406,1,0,0,0,0,0,3,0,0,0,0,0,0,0
407,2,0,0,0,0,0,1,0,0,0,1,0,0,0
408,5,0,0,0,0,0,1,0,0,0,1,0,1,0
409,1,0,0,0,0,0,0,0,1,0,0,0,0,0
410,3,0,0,0,1,0,2,0,0,0,1,0,0,0
411,1,0,0,0,0,0,0,0,2,0,1,0,0,0
412,1,0,0,0,0,0,7,0,0,0,0,0,0,0
413,1,0,0,0,0,0,3,0,0,0,0,0,0,0
414,1,0,0,0,2,0,1,0,0,0,1,0,0,0
415,1,0,0,0,0,0,0,0,1,0,7,0,0,0
416,2,0,0,0,0,0,1,0,0,0,1,0,0,0
417,1,0,0,0,0,0,0,0,1,0,1,0,0,0
418,1,0,0,0,0,0,1,0,0,0,1,0,0,0
419,4,0,0,0,0,0,2,0,6,0,1,0,0,0
420,1,0,0,0,0,0,1,0,0,0,1,0,0,0
421,1,0,0,0,0,0,0,0,0,0,0,0,0,0
422,1,0,0,0,0,0,0,0,1,0,1,0,1,0
423,4,0,0,0,0,0,1,0,0,0,0,0,0,0
424,3,0,0,0,0,0,0,0,1,0,1,0,0,0
425,2,0,0,0,0,0,4,0,0,0,0,0,0,0
426,2,0,0,0,0,0,6,0,0,0,1,0,0,0
427,1,0,0,0,0,0,2,0,0,0,1,0,0,0
428,2,0,0,0,0,0,1,0,0,0,0,0,0,0
429,2,0,0,0,0,0,1,0,0,0,1,0,0,0
430,2,0,0,0,0,0,0,0,1,0,1,0,0,0
431,0,0,0,0,0,0,0,0,1,0,1,0,0,0
432,1,0,0,0,0,0,1,0,0,0,1,0,0,0
433,0,0,0,0,0,0,1,0,0,0,0,0,0,0
434,6,0,0,0,1,0,1,0,0,0,1,0,0,0
435,0,0,0,0,0,0,1,0,0,0,1,0,0,0
436,1,0,0,0,0,0,1,0,0,0,2,0,0,0
437,6,0,0,0,0,0,1,0,0,0,2,0,0,0
438,1,0,0,0,0,0,5,0,3,0,0,0,0,0
439,4,0,0,0,0,0,1,0,0,0,3,0,0,0
440,1,0,0,0,0,0,1,0,0,0,1,0,0,0
441,0,0,0,0,0,0,1,0,0,0,0,0,0,0
442,1,0,0,0,0,0,1,0,0,0,0,0,0,0
443,1,0,0,0,0,0,1,0,0,0,1,0,0,0
444,4,0,0,0,0,0,6,0,0,0,2,0,0,0
445,0,0,0,0,0,0,1,0,0,0,1,0,0,0
446,1,0,0,0,0,0,0,0,0,0,0,0,0,0
447,2,0,0,0,0,0,1,0,0,0,0,0,0,0
448,3,0,0,0,0,0,1,0,0,0,1,0,0,0
449,12,0,0,0,0,0,1,0,1,0,1,0,0,0
450,2,0,0,0,0,0,3,0,0,0,0,0,2,0
